POCO,CADASTRO,ESTADO,BACIA,TERRA_MAR,TIPO,CATEGORIA,SITUACAO,INICIO,TERMINO,CONCLUSAO,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,PROFUNDIDADE_VERTICAL_M,PROFUNDIDADE_SONDADOR_M,PROFUNDIDADE_MEDIDA_M,MESA_ROTATIVA,COTA_ALTIMETRICA_M,LAMINA_D_AGUA_M,DURACAO,ANO_INICIO,ANO_TERMINO
7-CAM-1243D-RN,72100025004,RN,Potiguar,T,7,Desenvolvimento,INJETANDO,2010-08-25,2010-09-04,2010-12-18,"-5,0626688888","-37,1763255555",-542.0,942.0,942.0,,,0.0,10,2010,2010
7-CAM-1244-RN,72100023287,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-09-06,2008-09-09,2008-10-02,"-5,1352777777","-37,1818519444",756.0,756.0,756.0,,,0.0,3,2008,2008
7-CAM-1247-RN,72100023209,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-08-02,2008-08-05,2008-08-30,"-5,0537713888","-37,1351961111",1024.0,0.0,1024.0,,,0.0,3,2008,2008
7-CAM-1251-RN,72100023991,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2009-06-27,2009-07-12,2009-09-09,"-5,0756697222","-37,0901297222",1643.0,0.0,1643.0,,,0.0,15,2009,2009
7-CAM-1253-RN,72100023371,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-10-07,2008-10-11,2008-11-08,"-5,1228177777","-37,2276361111",762.0,762.0,762.0,,,0.0,4,2008,2008
7-CAM-1254D-RN,72100024173,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2009-09-11,2009-09-17,2009-10-14,"-5,1478011111","-37,2313347222",758.0,839.0,839.0,,,0.0,6,2009,2009
7-CAM-1256-RN,72100023318,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-09-13,2008-09-15,2008-10-10,"-5,0767858333","-37,1726022222",725.0,727.0,725.0,,,0.0,2,2008,2008
7-CAM-1257D-RN,72100024493,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2010-01-14,2010-01-18,2010-02-06,"-5,0760505555","-37,1705511111",722.0,829.0,,17.0,,0.0,4,2010,2010
7-CAM-1258-RN,72100023385,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-10-03,2008-10-05,2008-10-21,"-5,0828602777","-37,177905",715.0,716.0,715.0,,,0.0,2,2008,2008
7-CAM-1260-RN,72100023346,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-09-27,2008-09-30,2008-10-23,"-5,0819463888","-37,1802008333",710.0,710.0,710.0,,,0.0,3,2008,2008
7-CAM-1264-RN,72100023290,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-09-07,2008-09-09,2008-10-13,"-5,1141125","-37,1826508333",844.0,848.0,844.0,,,0.0,2,2008,2008
7-CAM-1266-RN,72100023302,RN,Potiguar,T,7,Desenvolvimento,INJETANDO,2008-08-28,2008-08-31,2008-09-20,"-5,125495","-37,1722372222",746.0,748.0,746.0,,,0.0,3,2008,2008
7-CAM-1267-RN,72100024165,RN,Potiguar,T,7,Desenvolvimento,ARRASADO,2009-09-07,2009-09-09,2009-10-04,"-5,1232086111","-37,2333230555",921.0,0.0,921.0,,,0.0,2,2009,2009
7-CAM-1272-RN,72100024177,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2009-09-14,2009-09-15,2009-10-23,"-5,1389444444","-37,2288747222",762.0,0.0,762.0,,,0.0,1,2009,2009
7-CAM-1274D-RN,72100024508,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2010-01-23,2010-01-28,2010-02-28,"-5,1593766666","-37,2365344444",743.0,818.0,,,,0.0,5,2010,2010
7-CAM-1284-RN,72100024153,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2009-09-02,2009-09-03,2009-10-01,"-5,1554730555","-37,2364497222",770.0,770.0,776.0,,,0.0,1,2009,2009
7-CAM-1285-RN,72100024018,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2009-07-03,2009-07-05,2009-07-19,"-5,0778905555","-37,1750625",718.0,718.0,718.0,,8.0,0.0,2,2009,2009
7-CAM-1294D-RN,72100024450,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2009-12-29,2010-01-03,2010-01-29,"-5,0950433333","-37,1981502777",698.0,,784.0,,,0.0,5,2009,2010
7-CAM-1296D-RN,72100024443,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2009-12-24,2009-12-29,2010-01-26,"-5,0916377777","-37,1994169444",709.0,800.0,,,,0.0,5,2009,2009
7-CAM-1297-RN,72100023999,RN,Potiguar,T,7,Desenvolvimento,INJETANDO,2009-07-02,2009-07-07,2009-08-02,"-5,0800802777","-37,1814277777",714.0,0.0,714.0,,,0.0,5,2009,2009
7-CAM-1304D-RN,72100024375,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2009-11-30,2009-12-07,2010-01-07,"-5,1119363888","-37,2106508333",772.0,891.0,891.0,,,0.0,7,2009,2009
7-CAM-1307D-RN,72100024323,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2009-11-06,2009-11-11,2009-12-11,"-5,0998344444","-37,2001872222",697.0,0.0,795.0,,,0.0,5,2009,2009
